owner,study,year,trt_n,date_applied,source_n,additive,rate_n_kgha
rosen lab,esn-nni,2020,n.4,2020-04-21,esn,NA,156.918895143395
rosen lab,esn-nni,2020,n.9,2020-04-22,manure,NA,20.1752865184365
rosen lab,esn-nni,2020,n.10,2020-04-22,manure,NA,20.1752865184365
rosen lab,esn-nni,2020,n.1,2020-04-24,dap,NA,44.83397004097
rosen lab,esn-nni,2020,n.2,2020-04-24,dap,NA,44.83397004097
rosen lab,esn-nni,2020,n.3,2020-04-24,dap,NA,44.83397004097
rosen lab,esn-nni,2020,n.4,2020-04-24,dap,NA,44.83397004097
rosen lab,esn-nni,2020,n.5,2020-04-24,dap,NA,44.83397004097
rosen lab,esn-nni,2020,n.5,2020-04-24,esn,NA,156.918895143395
rosen lab,esn-nni,2020,n.6,2020-04-24,dap,NA,44.83397004097
rosen lab,esn-nni,2020,n.7,2020-04-24,dap,NA,44.83397004097
rosen lab,esn-nni,2020,n.8,2020-04-24,dap,NA,44.83397004097
rosen lab,esn-nni,2020,n.9,2020-04-24,dap,NA,44.83397004097
rosen lab,esn-nni,2020,n.10,2020-04-24,dap,NA,44.83397004097
rosen lab,esn-nni,2020,n.11,2020-04-24,dap,NA,44.83397004097
rosen lab,esn-nni,2020,n.12,2020-04-24,dap,NA,44.83397004097
rosen lab,esn-nni,2020,n.13,2020-04-24,dap,NA,44.83397004097
rosen lab,esn-nni,2020,n.14,2020-04-24,dap,NA,44.83397004097
rosen lab,esn-nni,2020,n.15,2020-04-24,dap,NA,44.83397004097
rosen lab,esn-nni,2020,n.16,2020-04-24,dap,NA,44.83397004097
rosen lab,esn-nni,2020,n.11.1,2020-04-24,dap,NA,44.83397004097
rosen lab,esn-nni,2020,n.2,2020-05-19,urea,NA,156.918895143395
rosen lab,esn-nni,2020,n.3,2020-05-19,urea,NA,201.752865184365
rosen lab,esn-nni,2020,n.6,2020-05-19,esn,NA,156.918895143395
rosen lab,esn-nni,2020,n.7,2020-05-19,esn,NA,156.918895143395
rosen lab,esn-nni,2020,n.8,2020-05-19,esn,NA,201.752865184365
rosen lab,esn-nni,2020,n.10,2020-05-19,esn,NA,181.577578665929
rosen lab,esn-nni,2020,n.11,2020-05-19,esn,NA,112.084925102425
rosen lab,esn-nni,2020,n.12,2020-05-19,esn,NA,201.752865184365
rosen lab,esn-nni,2020,n.13,2020-05-19,esn,NA,156.918895143395
rosen lab,esn-nni,2020,n.14,2020-05-19,esn,NA,156.918895143395
rosen lab,esn-nni,2020,n.15,2020-05-19,esn,NA,156.918895143395
rosen lab,esn-nni,2020,n.16,2020-05-19,esn,NA,156.918895143395
rosen lab,esn-nni,2020,n.11.1,2020-05-19,esn,NA,112.084925102425
rosen lab,esn-nni,2020,n.2,2020-06-22,uan,NA,11.2084925102425
rosen lab,esn-nni,2020,n.4,2020-06-22,uan,NA,11.2084925102425
rosen lab,esn-nni,2020,n.5,2020-06-22,uan,NA,11.2084925102425
rosen lab,esn-nni,2020,n.6,2020-06-22,uan,NA,11.2084925102425
rosen lab,esn-nni,2020,n.7,2020-06-22,uan,NA,11.2084925102425
rosen lab,esn-nni,2020,n.12,2020-06-22,uan,NA,22.416985020485
rosen lab,esn-nni,2020,n.13,2020-06-22,uan,NA,22.416985020485
rosen lab,esn-nni,2020,n.14,2020-06-22,uan,NA,22.416985020485
